2026-04-11 23:46:18 | INFO     | facades.forecasting | Initiating Ground-Up Forecast (Source: USER)
2026-04-11 23:46:18 | INFO     | core.standardizer | Enforcing 12-feature schema on dataset of shape (1826, 12)
2026-04-11 23:46:18 | INFO     | repositories.firestore | Loading latest calibration state
2026-04-11 23:46:18 | INFO     | repositories.firestore | Fetching document calibration_state/latest
2026-04-11 23:48:03 | INFO     | repositories.firestore | Saving new calibration state: -10.08 drift
2026-04-11 23:48:03 | INFO     | repositories.firestore | Saving document to calibration_state/latest
2026-04-11 23:48:03 | INFO     | core.engine.lstm_mc | Executing Monte Carlo Dropout with 50 iterations
2026-04-11 23:48:04 | INFO     | core.engine.lstm_mc | Monte Carlo inference loop completed successfully
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-11
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-12
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-13
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-14
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-15
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-16
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-17
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-18
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-19
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-20
2026-04-11 23:48:04 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-21
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-22
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-23
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-24
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-25
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-26
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-27
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-28
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-29
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-04-30
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-01
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-02
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-03
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-04
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-05
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-06
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-07
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-08
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-09
2026-04-11 23:48:05 | INFO     | repositories.firestore | Saving document to daily_predictions/20260411_2026-05-10
2026-04-11 23:48:05 | INFO     | repositories.firestore | Logged 30 predictions for run 20260411
